iter	Passed	Remaining
0	143	143734
1	144	72114
2	145	48232
3	145	36323
4	146	29168
5	147	24381
6	147	20956
7	148	18390
8	148	16399
9	149	14801
10	150	13493
11	150	12407
12	151	11489
13	152	10705
14	152	10024
15	153	9422
16	153	8891
17	154	8417
18	154	7995
19	155	7614
20	155	7270
21	156	6957
22	157	6672
23	157	6409
24	158	6171
25	158	5954
26	159	5750
27	160	5563
28	161	5390
29	161	5226
30	162	5077
31	163	4933
32	163	4797
33	164	4672
34	165	4551
35	165	4437
36	166	4330
37	166	4227
38	167	4129
39	168	4035
40	168	3947
41	169	3863
42	169	3783
43	170	3708
44	171	3634
45	171	3564
46	172	3497
47	173	3432
48	173	3371
49	174	3311
50	174	3253
51	175	3197
52	175	3144
53	176	3092
54	177	3042
55	177	2994
56	178	2948
57	178	2904
58	179	2860
59	179	2819
60	180	2778
61	181	2739
62	181	2701
63	182	2664
64	182	2629
65	183	2595
66	183	2561
67	184	2529
68	185	2497
69	185	2467
70	186	2440
71	187	2415
72	188	2389
73	188	2363
74	189	2338
75	190	2312
76	190	2286
77	191	2261
78	191	2237
79	192	2213
80	193	2190
81	193	2167
82	193	2142
83	194	2121
84	195	2100
85	196	2083
86	196	2063
87	197	2045
88	198	2027
89	198	2009
90	199	1991
91	199	1972
92	200	1954
93	200	1937
94	201	1920
95	202	1905
96	202	1889
97	203	1873
98	204	1857
99	204	1842
100	205	1827
101	205	1812
102	206	1797
103	206	1783
104	207	1769
105	208	1756
106	208	1742
107	209	1729
108	210	1716
109	210	1703
110	211	1691
111	211	1678
112	212	1666
113	212	1653
114	213	1642
115	213	1630
116	214	1618
117	215	1607
118	215	1596
119	216	1585
120	216	1575
121	217	1563
122	217	1553
123	218	1542
124	218	1532
125	219	1522
126	219	1511
127	220	1503
128	221	1494
129	222	1485
130	222	1477
131	223	1467
132	223	1458
133	224	1449
134	224	1440
135	225	1431
136	225	1423
137	226	1415
138	227	1408
139	227	1399
140	228	1391
141	228	1382
142	229	1374
143	229	1366
144	230	1359
145	231	1351
146	231	1344
147	232	1336
148	232	1329
149	233	1323
150	234	1315
151	234	1308
152	235	1301
153	235	1294
154	236	1287
155	236	1281
156	237	1274
157	237	1268
158	238	1261
159	239	1255
160	239	1248
161	240	1242
162	240	1236
163	241	1230
164	241	1224
165	242	1218
166	243	1212
167	243	1206
168	244	1200
169	244	1194
170	245	1189
171	245	1183
172	246	1178
173	247	1173
174	247	1167
175	248	1162
176	248	1157
177	249	1152
178	250	1147
179	250	1141
180	251	1136
181	251	1131
182	252	1127
183	253	1122
184	253	1117
185	254	1112
186	254	1107
187	255	1102
188	255	1097
189	256	1092
190	256	1088
191	257	1083
192	258	1079
193	258	1075
194	259	1070
195	260	1066
196	260	1062
197	261	1058
198	261	1053
199	262	1049
200	262	1045
201	263	1040
202	264	1036
203	264	1032
204	265	1028
205	265	1024
206	266	1020
207	267	1016
208	267	1012
209	268	1008
210	268	1004
211	269	1000
212	269	996
213	270	992
214	270	989
215	271	985
216	272	981
217	272	978
218	273	974
219	273	970
220	274	966
221	274	963
222	275	959
223	275	956
224	276	952
225	277	948
226	277	946
227	278	942
228	278	939
229	279	935
230	280	932
231	280	928
232	281	925
233	281	921
234	282	918
235	282	915
236	283	911
237	283	908
238	284	905
239	284	902
240	285	899
241	286	896
242	286	892
243	287	889
244	287	886
245	288	883
246	288	880
247	289	877
248	289	874
249	290	871
250	291	868
251	291	865
252	292	862
253	292	859
254	293	856
255	293	853
256	294	851
257	294	848
258	295	845
259	295	842
260	296	839
261	297	838
262	298	835
263	298	833
264	299	830
265	299	827
266	300	824
267	300	822
268	301	819
269	302	816
270	302	814
271	303	811
272	303	809
273	304	806
274	304	804
275	305	801
276	306	798
277	306	796
278	307	793
279	307	791
280	308	788
281	308	786
282	309	784
283	310	781
284	310	779
285	311	776
286	311	774
287	312	771
288	312	769
289	313	767
290	313	764
291	314	762
292	315	760
293	315	758
294	316	756
295	316	753
296	317	751
297	318	749
298	318	746
299	319	744
300	319	742
301	320	740
302	320	737
303	321	735
304	322	733
305	322	731
306	323	729
307	323	727
308	324	725
309	324	722
310	325	720
311	325	718
312	326	716
313	326	714
314	327	712
315	328	710
316	328	708
317	329	706
318	329	704
319	330	702
320	330	699
321	331	697
322	332	695
323	332	693
324	333	691
325	333	689
326	334	687
327	334	686
328	335	684
329	335	682
330	336	680
331	337	678
332	337	676
333	338	674
334	338	672
335	339	670
336	339	668
337	340	666
338	340	664
339	341	662
340	341	660
341	342	659
342	343	657
343	343	655
344	344	653
345	344	651
346	345	649
347	345	647
348	346	645
349	346	644
350	347	642
351	348	640
352	348	639
353	349	637
354	349	635
355	350	634
356	351	632
357	351	630
358	352	629
359	352	627
360	353	625
361	354	624
362	354	622
363	355	620
364	355	619
365	356	617
366	356	615
367	357	613
368	358	612
369	358	610
370	359	608
371	359	607
372	360	605
373	360	604
374	361	602
375	362	600
376	362	599
377	363	597
378	363	595
379	364	594
380	364	592
381	365	590
382	365	589
383	366	588
384	367	586
385	367	584
386	368	583
387	368	581
388	369	580
389	369	578
390	370	576
391	370	575
392	371	573
393	372	572
394	372	570
395	373	569
396	373	567
397	374	566
398	375	565
399	375	563
400	376	562
401	377	560
402	377	559
403	378	557
404	378	556
405	379	555
406	380	553
407	380	552
408	381	550
409	381	549
410	382	547
411	383	546
412	383	545
413	384	543
414	384	542
415	385	541
416	386	539
417	386	538
418	387	537
419	387	535
420	388	534
421	389	532
422	389	531
423	390	530
424	391	529
425	391	527
426	392	526
427	392	525
428	393	523
429	394	522
430	394	520
431	395	519
432	395	518
433	396	516
434	396	515
435	397	513
436	398	512
437	398	511
438	399	510
439	399	508
440	400	507
441	400	506
442	401	504
443	402	503
444	402	502
445	403	500
446	403	499
447	404	498
448	404	496
449	405	495
450	405	494
451	406	492
452	407	491
453	407	490
454	408	488
455	408	487
456	409	486
457	409	484
458	410	483
459	411	482
460	411	481
461	412	479
462	412	478
463	413	477
464	413	476
465	414	474
466	414	473
467	415	472
468	415	470
469	417	470
470	417	469
471	418	468
472	419	466
473	419	465
474	420	464
475	420	463
476	421	461
477	421	460
478	422	459
479	422	458
480	423	457
481	424	455
482	424	454
483	425	453
484	425	452
485	426	450
486	426	449
487	427	448
488	428	447
489	428	446
490	429	444
491	429	443
492	430	442
493	430	441
494	431	440
495	431	438
496	432	437
497	433	436
498	433	435
499	434	434
500	434	432
501	435	431
502	435	430
503	436	429
504	436	428
505	437	427
506	438	425
507	438	424
508	439	423
509	439	422
510	440	421
511	440	420
512	441	419
513	442	418
514	442	417
515	443	415
516	444	414
517	444	413
518	445	412
519	446	411
520	446	410
521	447	409
522	447	408
523	448	407
524	449	406
525	449	405
526	450	404
527	450	403
528	451	401
529	451	400
530	452	399
531	453	398
532	453	397
533	454	396
534	454	395
535	455	394
536	456	393
537	456	392
538	457	390
539	457	389
540	458	388
541	458	387
542	459	386
543	459	385
544	460	384
545	461	383
546	461	382
547	462	381
548	462	380
549	463	379
550	463	378
551	464	376
552	465	375
553	465	374
554	466	373
555	466	372
556	467	371
557	467	370
558	468	369
559	468	368
560	469	367
561	470	366
562	470	365
563	471	364
564	471	363
565	472	362
566	472	361
567	473	359
568	474	359
569	474	358
570	475	357
571	476	356
572	476	355
573	477	354
574	478	353
575	478	352
576	479	351
577	480	350
578	480	349
579	481	348
580	482	347
581	482	346
582	483	345
583	484	344
584	484	343
585	485	342
586	485	341
587	486	341
588	487	340
589	487	339
590	488	338
591	489	337
592	489	336
593	490	335
594	490	334
595	491	333
596	492	332
597	492	331
598	493	330
599	494	329
600	494	328
601	495	327
602	496	326
603	496	325
604	497	324
605	498	323
606	498	322
607	499	321
608	499	320
609	500	320
610	501	319
611	501	318
612	502	317
613	503	316
614	503	315
615	504	314
616	504	313
617	505	312
618	506	311
619	507	310
620	507	309
621	508	308
622	508	307
623	509	306
624	510	306
625	510	305
626	511	304
627	512	303
628	512	302
629	513	301
630	514	300
631	514	299
632	515	298
633	515	297
634	516	296
635	517	296
636	517	295
637	518	294
638	519	293
639	519	292
640	520	291
641	520	290
642	521	289
643	522	288
644	522	287
645	523	286
646	523	285
647	524	284
648	525	284
649	526	283
650	526	282
651	527	281
652	528	280
653	529	279
654	529	279
655	530	278
656	531	277
657	532	276
658	532	275
659	533	274
660	534	274
661	534	273
662	535	272
663	536	271
664	536	270
665	537	269
666	538	268
667	539	268
668	539	267
669	540	266
670	541	265
671	541	264
672	542	263
673	542	262
674	543	261
675	544	260
676	544	259
677	545	259
678	546	258
679	546	257
680	547	256
681	548	255
682	548	254
683	549	253
684	549	252
685	550	252
686	551	251
687	551	250
688	552	249
689	553	248
690	553	247
691	554	246
692	554	245
693	555	244
694	555	243
695	556	243
696	557	242
697	558	241
698	558	240
699	559	239
700	559	238
701	560	237
702	561	237
703	561	236
704	562	235
705	562	234
706	563	233
707	564	232
708	564	231
709	565	230
710	565	230
711	566	229
712	567	228
713	567	227
714	568	226
715	568	225
716	569	224
717	570	223
718	570	223
719	571	222
720	572	221
721	572	220
722	573	219
723	574	218
724	574	217
725	576	217
726	577	216
727	577	215
728	578	215
729	579	214
730	579	213
731	580	212
732	580	211
733	581	210
734	582	209
735	583	209
736	583	208
737	584	207
738	585	206
739	586	206
740	587	205
741	588	204
742	589	203
743	589	202
744	590	202
745	591	201
746	591	200
747	592	199
748	592	198
749	593	197
750	594	196
751	595	196
752	596	195
753	597	194
754	597	194
755	598	193
756	599	192
757	599	191
758	600	190
759	601	189
760	602	189
761	602	188
762	603	187
763	603	186
764	604	185
765	605	184
766	605	184
767	606	183
768	607	182
769	607	181
770	608	180
771	608	179
772	609	179
773	610	178
774	610	177
775	611	176
776	611	175
777	612	174
778	613	173
779	613	173
780	614	172
781	615	171
782	615	170
783	616	169
784	616	168
785	617	168
786	618	167
787	618	166
788	619	165
789	620	164
790	620	164
791	621	163
792	622	162
793	622	161
794	623	160
795	623	159
796	624	158
797	624	158
798	625	157
799	626	156
800	626	155
801	627	154
802	628	154
803	628	153
804	629	152
805	629	151
806	630	150
807	630	149
808	631	149
809	631	148
810	632	147
811	633	146
812	633	145
813	634	144
814	635	144
815	635	143
816	636	142
817	636	141
818	637	140
819	638	140
820	638	139
821	639	138
822	639	137
823	640	136
824	641	135
825	641	135
826	642	134
827	642	133
828	643	132
829	643	131
830	644	131
831	645	130
832	645	129
833	646	128
834	646	127
835	647	127
836	648	126
837	648	125
838	649	124
839	649	123
840	650	122
841	650	122
842	651	121
843	652	120
844	652	119
845	653	118
846	653	118
847	654	117
848	654	116
849	655	115
850	656	114
851	656	114
852	657	113
853	657	112
854	658	111
855	659	110
856	659	110
857	660	109
858	660	108
859	661	107
860	661	106
861	662	106
862	663	105
863	663	104
864	664	103
865	664	102
866	665	102
867	665	101
868	666	100
869	666	99
870	667	98
871	668	98
872	668	97
873	669	96
874	669	95
875	670	94
876	670	94
877	671	93
878	672	92
879	672	91
880	673	90
881	673	90
882	674	89
883	674	88
884	675	87
885	676	87
886	677	86
887	677	85
888	678	84
889	678	83
890	679	83
891	680	82
892	680	81
893	681	80
894	681	79
895	682	79
896	682	78
897	683	77
898	684	76
899	684	76
900	685	75
901	685	74
902	686	73
903	686	72
904	687	72
905	688	71
906	688	70
907	689	69
908	689	69
909	690	68
910	691	67
911	691	66
912	692	65
913	692	65
914	693	64
915	693	63
916	694	62
917	694	62
918	695	61
919	696	60
920	696	59
921	697	58
922	697	58
923	698	57
924	698	56
925	699	55
926	700	55
927	700	54
928	701	53
929	701	52
930	702	52
931	702	51
932	703	50
933	704	49
934	704	48
935	705	48
936	705	47
937	706	46
938	706	45
939	707	45
940	708	44
941	708	43
942	709	42
943	710	42
944	710	41
945	711	40
946	711	39
947	712	39
948	713	38
949	713	37
950	714	36
951	715	36
952	715	35
953	716	34
954	717	33
955	717	33
956	718	32
957	718	31
958	719	30
959	720	30
960	720	29
961	721	28
962	722	27
963	722	26
964	723	26
965	723	25
966	724	24
967	724	23
968	725	23
969	726	22
970	726	21
971	727	20
972	728	20
973	728	19
974	729	18
975	730	17
976	730	17
977	731	16
978	732	15
979	732	14
980	733	14
981	734	13
982	734	12
983	735	11
984	736	11
985	736	10
986	737	9
987	737	8
988	738	8
989	739	7
990	739	6
991	740	5
992	740	5
993	741	4
994	742	3
995	743	2
996	743	2
997	744	1
998	744	0
999	745	0
